Run,Age,Altitude,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,dev_stage,env_broad_scale,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,host_tissue_sampled,identified_by,Instrument,Isolate,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,REPLICATE,create_date,version,Sample Name,sex,Specimen_voucher,SRA Study,Temp,Tissue,Treatment
SRR14556810,3 days,not applicable,RNA-Seq,252,11168043516,not applicable,PRJNA730212,SAMN19223820,Invertebrate,not applicable,5426532536,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,not applicable,SRX10900189,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,CON_5,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 2,2021-05-16T09:50:00Z,1,CON_5,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Unexposed (Permethrin)
SRR14556812,3 days,not applicable,RNA-Seq,252,9289642320,not applicable,PRJNA730212,SAMN19223818,Invertebrate,not applicable,4627957785,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,not applicable,SRX10900187,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,CON_3,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 3,2021-05-16T10:22:00Z,1,CON_3,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Unexposed (Malathion)
SRR14556817,3 days,not applicable,RNA-Seq,252,6390394920,not applicable,PRJNA730212,SAMN19223829,Invertebrate,not applicable,3240585717,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,not applicable,SRX10900182,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,PERM_R_2,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 2,2021-05-16T09:39:00Z,1,PERM_R_2,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Permethrin resistant
SRR14556805,3 days,not applicable,RNA-Seq,252,7877927232,not applicable,PRJNA730212,SAMN19223825,Invertebrate,not applicable,3739155287,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX10900194,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,MAL_R_2,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 1,2021-05-16T10:17:00Z,1,MAL_R_2,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Malathion resistant
SRR14556806,3 days,not applicable,RNA-Seq,252,5318404308,not applicable,PRJNA730212,SAMN19223824,Invertebrate,not applicable,2525963591,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,not applicable,SRX10900193,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Colony (Sudan),not applicable,DON_3,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 3,2021-05-16T09:51:00Z,1,DON_3,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Susceptible
SRR14556807,3 days,not applicable,RNA-Seq,252,13008178512,not applicable,PRJNA730212,SAMN19223823,Invertebrate,not applicable,6301498947,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX10900192,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Colony (Sudan),not applicable,DON_2,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 2,2021-05-16T09:47:00Z,1,DON_2,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Susceptible
SRR14556808,3 days,not applicable,RNA-Seq,252,7586116020,not applicable,PRJNA730212,SAMN19223822,Invertebrate,not applicable,3625169812,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX10900191,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Colony (Sudan),not applicable,DON_1,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 1,2021-05-16T09:45:00Z,1,DON_1,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Susceptible
SRR14556809,3 days,not applicable,RNA-Seq,252,9686163060,not applicable,PRJNA730212,SAMN19223821,Invertebrate,not applicable,4779679081,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX10900190,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,CON_6,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 3,2021-05-16T09:54:00Z,1,CON_6,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Unexposed (Permethrin)
SRR14556811,3 days,not applicable,RNA-Seq,252,7781399388,not applicable,PRJNA730212,SAMN19223819,Invertebrate,not applicable,3794006273,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,not applicable,SRX10900188,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,CON_4,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 1,2021-05-16T10:01:00Z,1,CON_4,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Unexposed (Permethrin)
SRR14556813,3 days,not applicable,RNA-Seq,252,7428474648,not applicable,PRJNA730212,SAMN19223833,Invertebrate,not applicable,3609674190,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,not applicable,SRX10900186,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Colony (Ethiopia),not applicable,SEK_4,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 3,2021-05-16T09:51:00Z,1,SEK_4,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Susceptible
SRR14556814,3 days,not applicable,RNA-Seq,252,7211756916,not applicable,PRJNA730212,SAMN19223832,Invertebrate,not applicable,3585670947,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,not applicable,SRX10900185,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Colony (Ethiopia),not applicable,SEK_2,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 2,2021-05-16T10:05:00Z,1,SEK_2,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Susceptible
SRR14556815,3 days,not applicable,RNA-Seq,252,6397307028,not applicable,PRJNA730212,SAMN19223831,Invertebrate,not applicable,3111004238,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,not applicable,SRX10900184,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Colony (Ethiopia),not applicable,SEK_1,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 1,2021-05-16T09:42:00Z,1,SEK_1,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Susceptible
SRR14556816,3 days,not applicable,RNA-Seq,252,7995999312,not applicable,PRJNA730212,SAMN19223830,Invertebrate,not applicable,3908397595,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,not applicable,SRX10900183,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,PERM_R_3,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 3,2021-05-16T09:37:00Z,1,PERM_R_3,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Permethrin resistant
SRR14556818,3 days,not applicable,RNA-Seq,252,7671147120,not applicable,PRJNA730212,SAMN19223828,Invertebrate,not applicable,3800422051,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,not applicable,SRX10900181,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,PERM_R_1,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 1,2021-05-16T09:46:00Z,1,PERM_R_1,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Permethrin resistant
SRR14556819,3 days,not applicable,RNA-Seq,252,13010690448,not applicable,PRJNA730212,SAMN19223827,Invertebrate,not applicable,6307846327,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX10900180,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,MAL_R_4,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 3,2021-05-16T10:27:00Z,1,MAL_R_4,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Malathion resistant
SRR14556820,3 days,not applicable,RNA-Seq,252,7160422752,not applicable,PRJNA730212,SAMN19223826,Invertebrate,not applicable,3410716685,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,not applicable,SRX10900179,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,MAL_R_3,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 2,2021-05-16T09:36:00Z,1,MAL_R_3,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Malathion resistant
SRR14556821,3 days,not applicable,RNA-Seq,252,7612979976,not applicable,PRJNA730212,SAMN19223817,Invertebrate,not applicable,3619232982,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,not applicable,SRX10900178,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,CON_2,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 2,2021-05-16T09:39:00Z,1,CON_2,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Unexposed (Malathion)
SRR14556822,3 days,not applicable,RNA-Seq,252,7275256128,not applicable,PRJNA730212,SAMN19223816,Invertebrate,not applicable,3474340567,US CENTERS FOR DISEASE CONTROL,not applicable,2017-10,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX10900177,Ethiopia,Africa,Ethiopia,not applicable,not applicable,not applicable,Illumina HiSeq 2500,not applicable,Housewalls,not applicable,CON_1,PAIRED,other,TRANSCRIPTOMIC,Anopheles arabiensis,ILLUMINA,2021-10-07T00:00:00Z,Biological replicate 1,2021-05-16T09:51:00Z,1,CON_1,not applicable,not applicable,SRP319976,not applicable,Whole mosquito body,Unexposed (Malathion)
