run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
ERR5883600	SAMEA8693395	ERX5527049	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/000/ERR5883600/ERR5883600.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883600/Tiassale4_R1.fastq.gz	
ERR5883607	SAMEA8693402	ERX5527056	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/007/ERR5883607/ERR5883607.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883607/Delta3_R1.fastq.gz	
ERR5883608	SAMEA8693403	ERX5527057	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/008/ERR5883608/ERR5883608.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883608/Delta4_R1.fastq.gz	
ERR5883609	SAMEA8693404	ERX5527058	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/009/ERR5883609/ERR5883609.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883609/Clothia1_R1.fastq.gz	
ERR5883614	SAMEA8693409	ERX5527063	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/004/ERR5883614/ERR5883614.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883614/Transflu2_R1.fastq.gz	
ERR5883597	SAMEA8693392	ERX5527046	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/007/ERR5883597/ERR5883597.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883597/Tiassale1_R1.fastq.gz	
ERR5883602	SAMEA8693397	ERX5527051	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/002/ERR5883602/ERR5883602.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883602/Fludo2_R1.fastq.gz	
ERR5883603	SAMEA8693398	ERX5527052	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/003/ERR5883603/ERR5883603.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883603/Fludo3_R1.fastq.gz	
ERR5883605	SAMEA8693400	ERX5527054	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/005/ERR5883605/ERR5883605.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883605/Delta1_R1.fastq.gz	
ERR5883610	SAMEA8693405	ERX5527059	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/000/ERR5883610/ERR5883610.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883610/Clothia2_R1.fastq.gz	
ERR5883612	SAMEA8693407	ERX5527061	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/002/ERR5883612/ERR5883612.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883612/Clothia4_R1.fastq.gz	
ERR5883613	SAMEA8693408	ERX5527062	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/003/ERR5883613/ERR5883613.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883613/Transflu1_R1.fastq.gz	
ERR5883616	SAMEA8693411	ERX5527065	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/006/ERR5883616/ERR5883616.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883616/Transflu4_R1.fastq.gz	
ERR5883598	SAMEA8693393	ERX5527047	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/008/ERR5883598/ERR5883598.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883598/Tiassale2_R1.fastq.gz	
ERR5883599	SAMEA8693394	ERX5527048	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/009/ERR5883599/ERR5883599.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883599/Tiassale3_R1.fastq.gz	
ERR5883601	SAMEA8693396	ERX5527050	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/001/ERR5883601/ERR5883601.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883601/Fludo1_R1.fastq.gz	
ERR5883604	SAMEA8693399	ERX5527053	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/004/ERR5883604/ERR5883604.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883604/Fludo4_R1.fastq.gz	
ERR5883606	SAMEA8693401	ERX5527055	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/006/ERR5883606/ERR5883606.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883606/Delta2_R1.fastq.gz	
ERR5883611	SAMEA8693406	ERX5527060	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/001/ERR5883611/ERR5883611.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883611/Clothia3_R1.fastq.gz	
ERR5883615	SAMEA8693410	ERX5527064	PRJEB44777	7165	Anopheles gambiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/005/ERR5883615/ERR5883615.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR588/ERR5883615/Transflu3_R1.fastq.gz	
